brand,product,short_name,seving_size,calories,calories_fat,saturated_fat ,trans_fat ,sodium,sugar,first_ingredient,processed,brand_name_search,product_search,short_name_search
doritos,nacho cheese flavored tortilla chips,nacho cheese tortilla chips,28,140,70,1,0,210,0,other,yes,TRTS,NXXSFLFRTTRTLXPS,NXXSTRTLXPS
doritos,cool ranch flavored tortilla chips,cool ranch tortilla chips,28,150,70,1,0,180,0,other,yes,TRTS,KLRNXFLFRTTRTLXPS,KLRNXTRTLXPS
doritos ,reduced fat cool ranch flavored tortilla chips,reduced fat cool ranch tortilla chips,28,130,45,1,0,160,1,whole grain,yes,TRTS,RTSTFTKLRNXFLFRTTRTLXPS,RTSTFTKLRNXTRTLXPS
doritos,spicy sweet chilli flavored tortilla chips,chilli tortilla chips,28,140,70,1,0,270,0,other,yes,TRTS,SPSSWTXLFLFRTTRTLXPS,XLTRTLXPS
doritos,flamas reduced fat tortilla chips,flamas reduced fat tortilla chips,28,140,45,5,0,200,0,whole grain,yes,TRTS,FLMSRTSTFTTRTLXPS,FLMSRTSTFTTRTLXPS
doritos ,reduced fat nacho cheese flavored tortilla chips,reduced fat nacho cheese tortilla chips,28,130,45,5,0,200,0,whole grain,yes,TRTS,RTSTFTNXXSFLFRTTRTLXPS,RTSTFTNXXSTRTLXPS
doritos,reduced fat spicy sweet chili flavored tortilla chips,reduced fat chili tortilla chips,28,130,45,5,0,180,0,whole grain,yes,TRTS,RTSTFTSPSSWTXLFLFRTTRTLXPS,RTSTFTXLTRTLXPS
cheetos crunchy,"cheese flavored, crunchysnacks",cheese flavored,28,150,90,15,0,250,1,other,yes,XTSKRNX,XSFLFRTKRNXSNKS,XSFLFRT
munchies,"snack mix, cheese fix",snack cheese mix,28,140,60,1,0,200,1,other,yes,MNXS,SNKMKSXSFKS,SNKXSMKS
fritos,original corn chips,corn chips,28,160,90,15,0,170,1,other,yes,FRTS,ORJNLKRNXPS,KRNXPS
lays,classic potato chips,potato chips,28,160,90,15,0,170,1,other,yes,LS,KLSKPTTXPS,PTTXPS
ruffles,cheddar & sour cream potato chips,cheddar sour cream potato chips,28,160,90,15,0,180,1,other,yes,RFLS,XTRSRKRMPTTXPS,XTRSRKRMPTTXPS
platanitos,plantain chips salted,plantain chips,32,170,90,42,0,215,0,fruit,yes,PLTNTS,PLNTNXPSSLTT,PLNTNXPS
platanitos,plantain chips with lemon,lemon plantain chips ,32,180,95,42,0,246,0,fruit,yes,PLTNTS,PLNTNXPSW0LMN,LMNPLNTNXPS
maduritos,sweet plantain chips,sweet plantain chips,32,160,95,25,0,2,12,fruit,yes,MTRTS,SWTPLNTNXPS,SWTPLNTNXPS
terra,"blues potato chips, sea salt",blues potato chips,28,130,54,1,0,115,3,vegetable,yes,TR,BLSPTTXPSSSLT,BLSPTTXPS
terra,sweet potato no salt added ,sweet potato no salt,34,190,120,1,0,15,4,vegetable,yes,TR,SWTPTTNSLTTT,SWTPTTNSLT
stacy's,"pita chips, simply naked",pita chips simply naked,28,130,45,0,0,270,0,other,yes,STSS,PTXPSSMPLNKT,PTXPSSMPLNKT
stacy's,"pita chips, parmesan garlic & herb",parmesan garlic pita chips,28,130,45,5,0,260,0,other,yes,STSS,PTXPSPRMSNKRLKHRB,PRMSNKRLKPTXPS
sun chips,"100% whole grain, harvest cheddar",whole grain cheddar,28,140,54,5,0,200,2,whole grain,yes,SNXPS,WLKRNHRFSTXTR,WLKRNXTR
lay's kettle cooked,40% less fat original potato chips,less fat potato chips,28,130,45,5,0,135,1,other,yes,LSKTLKKT,LSFTRJNLPTTXPS,LSFTPTTXPS
lay's kettle cooked,40% less fat sea salt & vinegar potato chips,less fat salt & vinegar potato chips,28,130,45,5,0,130,1,other,yes,LSKTLKKT,LSFTSSLTFNKRPTTXPS,LSFTSLTFNKRPTTXPS
lay's kettle cooked,40% less fat jalapeno cheddar potato chips,less fat jalapeno cheddar potato chips,28,130,45,1,0,120,1,other,yes,LSKTLKKT,LSFTJLPNXTRPTTXPS,LSFTJLPNXTRPTTXPS
popcorners,original white cheddar popped corn chips,white cheddar popped corn chips,28,130,45,5,0,120,1,other,yes,PPKRNRS,ORJNLHTXTRPPTKRNXPS,WTXTRPPTKRNXPS
popcorners,carnival kettle popped corn chips,carnival kettle popped corn chips,28,120,35,0,0,110,3,other,yes,PPKRNRS,KRNFLKTLPPTKRNXPS,KRNFLKTLPPTKRNXPS
broad street bakery ,jumbo honey bun,jumbo honey bun,142,590,260,14,0,390,37,other,yes,BRTSTRTBKR,JMHNBN,JMHNBN
mrs freshley's ,glazed donut sticks,glazed donut sticks,85,380,170,10,0,320,26,other,yes,MRSFRXLS,KLSTTNTSTKS,KLSTTNTSTKS
mrs freshley's ,danish cinnamon swirl bun,cinnamon swirl bun,113,440,180,9,0,410,33,other,yes,MRSFRXLS,TNXSNMNSWRLBN,SNMNSWRLBN
mrs freshley's ,danish cheese swirl bun ,cheese swirl bun ,113,460,210,11,0,390,29,other,yes,MRSFRXLS,TNXXSSWRLBN,XSSWRLBN
kellogg's pop tarts,"frosted strawberry, toaster pastries",frosted strawberry pastries,52,200,45,15,0,170,16,other,yes,KLKSPPTRTS,FRSTTSTRBRTSTRPSTRS,FRSTTSTRBRPSTRS
cheez-it,baked snack crackers (original) ,snack crackers,42,210,100,25,0,320,0,other,yes,XST,BKTSNKKRKRSRJNL,SNKKRKRS
cheez-it,reduced fat white cheddar crackers,reduced fat cheddar crackers,30,130,36,1,0,290,0,other,yes,XST,RTSTFTHTXTRKRKRS,RTSTFTXTRKRKRS
keebler elfin crackers ,keebler animal crackers cookies elfin original 212 oz (60g),crackers cookies,30,120,18,0,0,140,8,other,yes,KBLRLFNKRKRS,KBLRNMLKRKRSKKSLFNRJNLSK,KRKRSKKS
chex mix™ ,traditional snack mix ,snack mix ,29,120,30,5,0,230,2,other,yes,XKSMKS,TRTXNLSNKMKS,SNKMKS
"snyder's of hanover, mini pretzels, ","snyder's of hanover, mini pretzels, fat free ",mini pretzels fat free ,30,110,0,0,0,250,0,other,yes,SNTRSFHNFRMNPRTSLS,SNTRSFHNFRMNPRTSLSFTFR,MNPRTSLSFTFR
knott's berry farm  ,shortbread cookies raspberry ,shortbread cookies raspberry ,57,240,100,25,0,120,13,other,yes,NTSBRFRM,XRTBRTKKSRSPBR,XRTBRTKKSRSPBR
famous amos,cookie chocolate chip ,cookie chocolate chip ,29,140,63,25,0,105,9,other,yes,FMSMS,KKXKLTXP,KKXKLTXP
grandma's® ,mini sandwich cremes vanilla flavored cookies,vanilla creme sandwich cookies,31,150,60,25,0,95,9,other,yes,KRNTMS,MNSNTWXKRMSFNLFLFRTKKS,FNLKRMSNTWXKKS
kellogg's rice krispies treats,crispy marshmallow squares original ,crispy marshmallow,62,260,54,15,0,290,21,other,yes,KLKSRSKRSPSTRTS,KRSPMRXMLSKRSRJNL,KRSPMRXML
welch's,"welch's, fruit snacks, island fruits",fruit snacks,255,80,0,0,0,10,11,other,yes,WLXS,WLXSFRTSNKSSLNTFRTS,FRTSNKS
welch's,mixed fruit snacks ,mixed fruit snacks ,40,130,0,0,0,15,18,other,yes,WLXS,MKSTFRTSNKS,MKSTFRTSNKS
"quaker, breakfast cookies",oatmeal raisin cookies,oatmeal raisin cookies,48,170,40,1,0,190,15,whole grain,yes,KKRBRKFSTKKS,OTMLRSNKKS,OTMLRSNKKS
"quaker, breakfast cookies",oatmeal chocolate chip cookies,oatmeal chocolate chip cookies,48,180,50,2,0,190,14,whole grain,yes,KKRBRKFSTKKS,OTMLXKLTXPKKS,OTMLXKLTXPKKS
kar's ,original trail mix unsalted,original trail mix unsalted,57,270,160,25,0,5,14,fruit,no,KRS,ORJNLTRLMKSNSLTT,ORJNLTRLMKSNSLTT
kar's ,all energy trail mix unsalted,energy trail mix unsalted,57,280,160,45,0,15,14,protein,no,KRS,ALNRJTRLMKSNSLTT,ENRJTRLMKSNSLTT
kar's ,roasted salted peanuts,salted peanuts,57,330,270,5,0,180,2,protein,no,KRS,RSTTSLTTPNTS,SLTTPNTS
nature valley ,honey oat crunch granola bars,honey oat crunch bar,42,190,60,1,0,180,11,whole grain,yes,NTRFL,HNTKRNXKRNLBRS,HNTKRNXBR
nature valley ,chewy granola bars fruit & nut trail mix ,fruit nut trail mix chewy bar,35,140,35,5,0,65,7,whole grain,yes,NTRFL,XKRNLBRSFRTNTTRLMKS,FRTNTTRLMKSXBR
fiber one,chewy bars oats & chocolate,oat chocolate chewy bar,24,80,25,15,0,55,5,whole grain,yes,FBRN,XBRSTSXKLT,OTXKLTXBR
clif bar,"energy bar, peanut toffee buzz",peanut toffee energy bar,68,250,60,15,0,190,21,other,yes,KLFBR,ENRJBRPNTTFBS,PNTTFNRJBR
clif bar,"energy bar, white chocolate macadamia nut",white chocolate macadamia energy bar,68,260,70,2,0,220,21,other,yes,KLFBR,ENRJBRHTXKLTMKTMNT,WTXKLTMKTMNRJBR
kind bar ,blueberry vanilla & cashew bar,blueberry vanilla cashew bar,40,190,90,15,0,25,11,protein,yes,KNTBR,BLBRFNLKXBR,BLBRFNLKXBR
kellogg's nutri-grain ,cereal bars strawberry ,strawberry bar ,37,120,30,5,0,125,11,whole grain,yes,KLKSNTRKRN,SRLBRSSTRBR,STRBRBR
"quaker, breakfast flats",banana honey nut crispy snack bar,banana honey nut bar,40,180,60,5,0,140,10,whole grain,yes,KKRBRKFSTFLTS,BNNHNNTKRSPSNKBR,BNNHNNTBR
gatorade recover,"whey protein bar, chocolate caramel ",whey protein chocolate caramel bar,80,340,90,8,0,190,29,protein,yes,KTRTRKFR,WPRTNBRXKLTKRML,WPRTNXKLTKRMLBR
gatorade recover,"whey protein bar,peanut butter chocolate ",whey protein peanut butter chocolate bar ,80,360,120,9,0,340,25,other,yes,KTRTRKFR,WPRTNBRPNTBTRXKLT,WPRTNPNTBTRXKLTBR
belvita,golden oat breakfast biscuit,oat biscuit,50,230,80,5,0,220,11,whole grain,yes,BLFT,KLTNTBRKFSTBSKT,OTBSKT
belvita,blueburry breakfast biscuit,blueburry biscuit,50,230,70,5,0,210,13,whole grain,yes,BLFT,BLBRBRKFSTBSKT,BLBRBSKT
lorna doone,shortbread cookies,shortbread cookies,28,140,60,15,0,150,5,other,yes,LRNTN,XRTBRTKKS,XRTBRTKKS
munchies,peanut butter crackers,peanut butter crackers,40,210,100,3,0,260,6,other,yes,MNXS,PNTBTRKRKRS,PNTBTRKRKRS
"lance, captain's wafers, ",grilled cheese crackers,grilled cheese crackers,39,190,80,3,0,270,5,other,yes,LNSKPTNSWFRS,KRLTXSKRKRS,KRLTXSKRKRS
oreo,chocolate with cream sandwich cookie,chocolate cream sandwich cookie,57,270,100,3,0,220,23,other,yes,OR,XKLTW0KRMSNTWXKK,XKLTKRMSNTWXKK
m&m's ,peanut chocolate candy,peanut chocolate candy,493,250,120,5,0,25,25,Other,yes,MMS,PNTXKLTKNT,PNTXKLTKNT
m&m's ,milk chocolate candy,milk chocolate candy,479,240,90,6,0,30,30,Other,yes,MMS,MLKXKLTKNT,MLKXKLTKNT
snickers bar,"chocolate bar made with caramel, nougat, peanuts and milk chocolate",chocolate caramel peanut bar,527,250,110,45,0,120,27,other,yes,SNKRSBR,XKLTBRMTW0KRMLNKTPNTSNTMLKXKLT,XKLTKRMLPNTBR
twix,chocolate caramel cookie bar,chocolate caramel cookie bar,507,250,110,7,0,100,24,other,yes,TWKS,XKLTKRMLKKBR,XKLTKRMLKKBR
kit kat big kat ,crisp wafer bar in milk chocolate ,chocolate wafer bar,42,210,90,7,0,30,21,other,yes,KTKTBKKT,KRSPWFRBRNMLKXKLT,XKLTWFRBR
reese's,milk chocolate peanut butter cup,chocolate peanut butter cup,42,220,120,45,0,150,22,other,yes,RSS,MLKXKLTPNTBTRKP,XKLTPNTBTRKP
twizzlers,strawberry twists,strawberry twists,70,240,0,0,0,150,29,other,yes,TWSLRS,STRBRTWSTS,STRBRTWSTS
sour jacks ,watermelon soft & chewy mouth-puckering candy  ,watermelon soft & chewy candy  ,40,140,0,0,0,30,24,other,yes,SRJKS,WTRMLNSFTXM0PKRNKKNT,WTRMLNSFTXKNT
nuclear sqworms ,sour neon gummi worms,sour gummi,39,130,0,0,0,50,22,other,yes,NKLRSKWRMS,SRNNKMWRMS,SRKM
skittles,"skittles bite size candies, original",skittles candies original,615,250,25,25,0,20,46,other,yes,SKTLS,SKTLSBTSSKNTSRJNL,SKTLSKNTSRJNL
starburst,fruit chews candy,fruit chews candy,40,160,30,3,0,0,22,other,yes,STRBRST,FRTXSKNT,FRTXSKNT
3 musketeers,chocolate bar,chocolate bar,544,240,70,5,0,90,36,other,yes,MSKTRS,XKLTBR,XKLTBR
star bar ,vanilla flavored reduced fat ice cream dipped in chocolate flavored coating,vanilla reduced fat ice cream coated chocolate,42,110,60,6,0,25,9,dairy,yes,STRBR,FNLFLFRTRTSTFTSKRMTPTNXKLTFLFRTKTNK,FNLRTSTFTSKRMKTTXKLT
chips galore,creamy vanilla flavored ice cream layered between two chocolate chip cookies rolled in mini chocolate chips,vanilla chocolate chip ice cream,97,310,130,8,0,220,27,dairy,yes,XPSKLR,KRMFNLFLFRTSKRMLYRTBTWNTWXKLTXPKKSRLTNMNXKLTXPS,FNLXKLTXPSKRM
cookies 'n cream aundae cone,cookies 'n cream reduced fat ice cream in a sugar cone dipped in white coating topped with chocolated cookie peieces,cookies 'n cream reduced fat ice cream,97,280,110,9,0,140,23,dairy,yes,KKSNKRMNTKN,KKSNKRMRTSTFTSKRMNSKRKNTPTNHTKTNKTPTW0XKLTTKKPSS,KKSNKRMRTSTFTSKRM
 big vanilla,creamy vanilla reduced fat ice cream layered between two rich chocolate wafers,vanilla reduced fat ice cream in chocolate wafers,105,240,70,45,0,160,22,dairy,yes,BKFNL,KRMFNLRTSTFTSKRMLYRTBTWNTWRXXKLTWFRS,FNLRTSTFTSKRMNXKLTWFRS
